State,CD,STATE_CD,Last_name,First_name,Party,PVI,Sixteen_Winner,Sixteen_Margin,Trump_tot,Clinton_tot,Twelve_winner,Twelve_Margin,Romney_tot,Obama_tot,Trump_net_percentage
TX,13,TX-13,THORNBERRY, MAC ,R,R+33,Trump,63,80,17,Romney,62,80,19,-1
TX,11,TX-11,CONAWAY, MIKE ,R,R+32,Trump,59,78,19,Romney,60,79,20,-2
GA,9,GA-9,COLLINS, DOUG ,R,R+31,Trump,59,78,19,Romney,58,78,21,0
KY,5,KY-5,ROGERS, HAROLD ,R,R+31,Trump,62,80,18,Romney,52,75,23,5
AL,4,AL-4,ADERHOLT, ROBERT ,R,R+30,Trump,63,80,17,Romney,51,75,24,5
TN,1,TN-1,ROE, PHIL ,R,R+28,Trump,57,76,20,Romney,47,73,26,4
TX,8,TX-8,BRADY, KEVIN ,R,R+28,Trump,48,72,24,Romney,55,77,22,-5
TX,4,TX-4,RATCLIFFE, JOHN ,R,R+28,Trump,53,75,22,Romney,49,74,25,1
OK,3,OK-3,LUCAS, FRANK ,R,R+27,Trump,53,74,21,Romney,48,74,26,0
GA,14,GA-14,GRAVES, TOM ,R,R+27,Trump,53,75,22,Romney,48,73,25,2
NE,3,NE-3,SMITH, ADRIAN ,R,R+27,Trump,54,74,20,Romney,42,70,28,4
TX,19,TX-19,ARRINGTON, JODEY ,R,R+27,Trump,49,72,23,Romney,49,74,25,-2
AL,6,AL-6,PALMER, GARY ,R,R+26,Trump,44,70,26,Romney,50,74,25,-5
UT,1,UT-1,BISHOP, ROB ,R,R+26,Trump,22,50,22,Romney,57,78,20,-28
TX,36,TX-36,BABIN, BRIAN ,R,R+26,Trump,47,72,25,Romney,47,73,26,-1
UT,3,UT-3,CHAFFETZ, JASON ,R,R+25,Trump,18,47,23,Romney,59,79,20,-31
WY,AL,WY-AL,CHENEY, LIZ ,R,R+25,Trump,46,68,22,Romney,41,69,28,0
TX,1,TX-1,GOHMERT, LOUIE ,R,R+25,Trump,47,72,25,Romney,44,72,28,0
KS,1,KS-1,MARSHALL, ROGER ,R,R+24,Trump,45,69,24,Romney,42,70,28,-1
TN,6,TN-6,BLACK, DIANE ,R,R+24,Trump,49,72,24,Romney,40,69,30,3
MO,8,MO-8,SMITH, JASON ,R,R+24,Trump,54,75,21,Romney,34,66,32,9
LA,1,LA-1,SCALISE, STEVE ,R,R+24,Trump,42,69,27,Romney,44,71,27,-2
OK,2,OK-2,MULLIN, MARKWAYNE ,R,R+24,Trump,50,73,23,Romney,36,68,32,5
MO,7,MO-7,LONG, BILLY ,R,R+23,Trump,46,70,25,Romney,37,68,30,3
KY,1,KY-1,COMER, JAMES ,R,R+23,Trump,49,72,24,Romney,34,66,32,6
WV,3,WV-3,JENKINS, EVAN ,R,R+23,Trump,49,73,23,Romney,32,65,33,8
FL,1,FL-1,GAETZ, MATT ,R,R+22,Trump,39,68,28,Romney,39,70,31,-2
IL,15,IL-15,SHIMKUS, JOHN ,R,R+21,Trump,46,71,24,Romney,30,64,34,7
AZ,4,AZ-4,GOSAR, PAUL ,R,R+21,Trump,39,66,27,Romney,36,67,31,-1
MS,4,MS-4,PALAZZO, STEVEN ,R,R+21,Trump,41,69,28,Romney,36,68,31,2
ID,1,ID-1,LABRADOR, RAUL ,R,R+21,Trump,38,64,25,Romney,33,65,32,-1
TN,4,TN-4,DESJARLAIS, SCOTT ,R,R+20,Trump,41,68,27,Romney,32,65,33,3
TN,2,TN-2,DUNCAN, JOHN ,R,R+20,Trump,35,65,30,Romney,36,67,31,-3
TN,7,TN-7,BLACKBURN, MARSHA ,R,R+20,Trump,39,67,28,Romney,33,66,33,1
LA,3,LA-3,ANGELLE, SCOTT ,R,R+20,Trump,38,67,29,Romney,34,66,32,1
OK,4,OK-4,COLE, TOM ,R,R+20,Trump,37,66,28,Romney,34,67,33,-2
VA,9,VA-9,GRIFFITH, H. MORGAN ,R,R+19,Trump,41,68,27,Romney,29,64,36,4
WV,1,WV-1,MCKINLEY, DAVID ,R,R+19,Trump,42,68,26,Romney,27,62,36,6
PA,9,PA-9,SHUSTER, WILLIAM ,R,R+19,Trump,43,70,27,Romney,27,63,36,7
SC,3,SC-3,DUNCAN, JEFF ,R,R+19,Trump,38,67,29,Romney,31,65,34,2
TN,8,TN-8,KUSTOFF, DAVID ,R,R+19,Trump,35,66,31,Romney,34,66,33,-1
KY,2,KY-2,GUTHRIE, S. BRETT ,R,R+19,Trump,40,68,28,Romney,28,63,35,4
